dev_id,start_timestamp
static_6_01,2019-04-25T20:45:00Z
static_6_02,2019-04-04T10:50:00Z
static_6_03,2019-04-04T10:25:00Z
static_7_01,2019-04-05T15:30:00Z
static_7_02,2019-04-05T11:15:00Z
static_8_01,2019-04-05T12:45:00Z
static_8_03,2019-04-26T16:00:00Z
static_8_04,2019-04-28T17:35:00Z
